trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
94,False,"{'a': 0.02, 'e': 0.3906278353585211}",25,7,-37.16433216684593,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 1}",1
95,False,"{'a': 0.02, 'e': 0.3867410234545012}",20,15,-3.997566602510119,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
96,False,"{'a': 0.02, 'e': 0.38289288597511206}",25,0,-17.731577967317964,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
97,False,"{'a': 0.02, 'e': 0.37908303810339883}",20,11,-9.52971451806359,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
98,False,"{'a': 0.02, 'e': 0.37531109885139957}",30,12,-14.592460123542484,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 0}",1
99,False,"{'a': 0.02, 'e': 0.3715766910220457}",20,13,13.565729206726601,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.02, 'e': 0.36787944117144233}",25,0,22.880612392380595,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
101,False,"{'a': 0.02, 'e': 0.3642189795715233}",20,0,-7.086608981667171,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",1
102,False,"{'a': 0.02, 'e': 0.3605949401730783}",25,0,-59.63789807365286,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",1
103,False,"{'a': 0.02, 'e': 0.3570069605691474}",20,0,-109.22251243671921,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
104,False,"{'a': 0.02, 'e': 0.35345468195878016}",20,0,-35.16589814458967,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
105,False,"{'a': 0.02, 'e': 0.3499377491111553}",25,0,-102.08019156644697,"{0: 19, 1: 0, 2: 3, 3: 1, 4: 2}",0
106,False,"{'a': 0.02, 'e': 0.3464558103300574}",25,0,-16.98023891798111,"{0: 21, 1: 1, 2: 2, 3: 1, 4: 0}",0
107,False,"{'a': 0.02, 'e': 0.34300851741870664}",20,0,3.875811120825979,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
108,False,"{'a': 0.02, 'e': 0.3395955256449391}",20,2,13.117626534226511,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
109,False,"{'a': 0.02, 'e': 0.33621649370673334}",20,0,-7.8737684578442435,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
110,False,"{'a': 0.02, 'e': 0.33287108369807955}",20,3,-96.16116955231468,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 2}",1
111,False,"{'a': 0.02, 'e': 0.32955896107518906}",25,0,-20.81145983227718,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",0
112,False,"{'a': 0.02, 'e': 0.32627979462303947}",20,5,2.7942060937220576,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
